min,value,cnt,cdn,bitrate,p2p,isp
1596686580,4,65,7,500,1,电信
1596686580,5,125,7,2000,1,联通
1596686580,2,37,5,2000,1,电信
1596686580,3,16,7,0,0,联通
1596686580,1,11,3,2000,0,移动
1596686580,39,144,7,4000,0,电信
1596686580,2,36,5,2000,1,移动
1596686580,5,17,3,4000,1,移动
1596686580,25,66,7,0,0,移动
1596686580,38,124,7,4000,0,移动
1596686580,10,251,7,2000,1,电信
1596686580,2,22,7,4000,1,小运营商
1596686580,0,16,5,2000,1,联通
1596686580,3,53,7,500,1,移动
1596686580,11,278,7,2000,1,移动
1596686580,30,71,7,4000,0,联通
1596686580,6,19,3,4000,1,电信
1596686580,0,12,7,10000,0,电信
1596686580,9,13,7,500,0,电信
1596686580,1,43,7,10000,1,电信
1596686580,2,22,3,4000,0,电信
1596686580,66,170,7,2000,0,移动
1596686580,1,13,5,10000,1,联通
1596686580,4,20,5,4000,1,电信
1596686580,14,34,7,500,0,移动
1596686580,23,113,7,4000,1,联通
1596686580,40,108,7,2000,0,电信
1596686580,0,24,7,10000,0,移动
1596686580,10,25,5,4000,1,移动
1596686580,22,75,5,2000,0,联通
1596686580,2,17,3,4000,0,移动
1596686580,3,35,7,10000,1,移动
1596686580,3,15,5,500,0,联通
1596686580,2,14,3,10000,1,移动
1596686580,3,22,7,500,1,联通
1596686580,5,16,5,4000,1,联通
1596686580,5,13,3,0,0,移动
1596686580,59,307,7,4000,1,电信
1596686580,1,26,7,10000,1,联通
1596686580,18,43,7,0,0,电信
1596686580,5,17,3,0,0,电信
1596686580,51,230,7,4000,1,移动
1596686580,3,21,5,2000,0,电信
1596686580,25,83,7,2000,0,联通
1596686580,0,19,3,2000,1,电信
1596686640,0,60,7,10000,1,电信
1596686640,1,25,3,4000,1,电信
1596686640,2,42,7,10000,1,移动
1596686640,0,18,3,4000,0,移动
1596686640,0,65,7,500,1,电信
1596686640,0,17,5,500,0,联通
1596686640,5,106,5,2000,0,联通
1596686640,1,11,3,2000,1,联通
1596686640,0,14,5,10000,1,联通
1596686640,16,103,7,4000,1,联通
1596686640,4,45,7,0,0,电信
1596686640,0,26,3,4000,0,电信
1596686640,0,28,7,4000,1,小运营商
1596686640,0,17,7,0,0,联通
1596686640,0,21,7,10000,0,电信
1596686640,1,36,5,4000,1,电信
1596686640,0,11,5,4000,0,电信
1596686640,20,283,7,2000,1,电信
1596686640,8,37,7,500,0,移动
1596686640,30,170,7,2000,0,移动
1596686640,0,20,7,10000,0,移动
1596686640,3,17,3,4000,1,移动
1596686640,4,57,7,0,0,移动
1596686640,0,43,5,2000,1,移动
1596686640,1,13,3,4000,1,联通
1596686640,0,17,3,10000,1,移动
1596686640,1,16,5,10000,1,移动
1596686640,23,203,7,4000,1,移动
1596686640,13,148,7,4000,0,移动
1596686640,4,25,5,4000,1,联通
1596686640,1,22,3,0,0,移动
1596686640,3,20,5,2000,0,电信
1596686640,0,20,5,2000,1,联通
1596686640,0,36,7,10000,1,联通
1596686640,2,18,3,0,0,电信
1596686640,0,13,7,2000,1,小运营商
1596686640,15,67,7,4000,0,联通
1596686640,17,185,7,4000,0,电信
1596686640,29,277,7,4000,1,电信
1596686640,0,38,5,2000,1,电信
1596686640,0,12,5,2000,0,移动
1596686640,0,30,7,500,1,联通
1596686640,10,397,7,2000,1,移动
1596686640,8,65,5,4000,1,移动
1596686640,6,159,7,2000,1,联通
1596686640,8,13,7,500,0,电信
1596686640,1,71,7,500,1,移动
1596686640,23,132,7,2000,0,电信
1596686640,0,25,3,2000,1,电信
1596686640,9,74,7,2000,0,联通
1596686700,0,18,3,0,0,电信
1596686700,0,12,3,2000,1,联通
1596686700,5,124,5,2000,0,联通
1596686700,2,24,3,0,0,移动
1596686700,12,130,7,4000,1,联通
1596686700,0,18,7,0,0,联通
1596686700,1,12,3,10000,1,电信
1596686700,11,227,7,4000,0,电信
1596686700,0,45,5,2000,1,移动
1596686700,1,41,5,2000,1,电信
1596686700,0,19,3,10000,1,移动
1596686700,4,155,7,4000,0,移动
1596686700,2,12,7,4000,1,海外
1596686700,0,11,3,2000,0,移动
1596686700,11,436,7,2000,1,移动
1596686700,1,17,5,500,0,联通
1596686700,16,79,7,2000,0,联通
1596686700,0,12,5,10000,1,联通
1596686700,0,12,5,4000,0,电信
1596686700,1,73,7,500,1,移动
1596686700,0,31,3,4000,1,电信
1596686700,0,13,7,10000,0,电信
1596686700,0,23,7,10000,0,移动
1596686700,0,20,3,4000,1,移动
1596686700,5,301,7,2000,1,电信
1596686700,0,62,7,500,1,电信
1596686700,0,37,7,4000,1,小运营商
1596686700,1,46,5,4000,1,电信
1596686700,3,19,3,4000,0,移动
1596686700,20,137,7,2000,0,电信
1596686700,2,33,7,500,1,联通
1596686700,3,67,5,4000,1,移动
1596686700,6,14,7,500,0,电信
1596686700,8,178,7,2000,1,联通
1596686700,0,11,5,4000,0,联通
1596686700,32,187,7,2000,0,移动
1596686700,0,64,7,0,0,移动
1596686700,0,52,7,10000,1,移动
1596686700,0,18,5,2000,1,联通
1596686700,2,25,3,2000,1,电信
1596686700,1,19,5,10000,1,移动
1596686700,7,273,7,4000,1,移动
1596686700,0,18,5,2000,0,电信
1596686700,4,345,7,4000,1,电信
1596686700,0,12,5,2000,0,移动
1596686700,0,64,7,10000,1,电信
1596686700,1,16,3,4000,1,联通
1596686700,1,47,7,0,0,电信
1596686700,7,28,7,500,0,移动
1596686700,10,65,7,4000,0,联通
1596686700,0,12,7,2000,1,小运营商
1596686700,0,27,3,4000,0,电信
1596686700,0,40,7,10000,1,联通
1596686700,2,27,5,4000,1,联通
1596686760,3,45,7,0,0,电信
1596686760,1,32,7,500,1,联通
1596686760,2,71,7,500,1,移动
1596686760,0,14,5,4000,0,电信
1596686760,13,430,7,2000,1,移动
1596686760,4,66,7,4000,0,联通
1596686760,0,20,7,0,0,联通
1596686760,0,37,5,2000,1,电信
1596686760,32,186,7,2000,0,移动
1596686760,2,12,7,4000,1,海外
1596686760,0,44,5,2000,1,移动
1596686760,0,44,5,4000,1,电信
1596686760,2,17,3,4000,1,联通
1596686760,0,12,3,10000,1,电信
1596686760,7,205,7,4000,0,电信
1596686760,0,13,5,4000,0,联通
1596686760,4,173,7,2000,1,联通
1596686760,6,31,7,500,0,移动
1596686760,0,66,7,10000,1,电信
1596686760,2,146,7,4000,0,移动
1596686760,3,21,3,10000,1,移动
1596686760,0,16,3,4000,0,电信
1596686760,0,19,3,4000,1,移动
1596686760,0,41,7,10000,1,联通
1596686760,1,16,3,0,0,移动
1596686760,6,13,7,500,0,电信
1596686760,4,66,5,4000,1,移动
1596686760,0,17,3,0,0,电信
1596686760,15,145,7,2000,0,电信
1596686760,3,27,5,4000,1,联通
1596686760,3,21,5,500,0,联通
1596686760,2,34,7,4000,1,小运营商
1596686760,16,81,7,2000,0,联通
1596686760,17,365,7,4000,1,电信
1596686760,2,12,5,2000,0,电信
1596686760,0,60,7,10000,1,移动
1596686760,5,130,5,2000,0,联通
1596686760,0,14,3,4000,0,移动
1596686760,9,291,7,4000,1,移动
1596686760,0,18,7,10000,0,电信
1596686760,0,38,3,4000,1,电信
1596686760,1,17,5,10000,1,移动
1596686760,1,11,3,2000,1,联通
1596686760,0,25,3,2000,1,电信
1596686760,0,69,7,500,1,电信
1596686760,1,11,5,4000,0,移动
1596686760,0,12,5,2000,1,联通
1596686760,2,72,7,0,0,移动
1596686760,7,317,7,2000,1,电信
1596686760,1,132,7,4000,1,联通
1596686760,0,12,5,10000,1,联通
1596686760,1,24,7,10000,0,移动
1596686820,4,20,5,4000,1,联通
1596686820,2,26,3,2000,1,电信
1596686820,4,38,7,0,0,电信
1596686820,1,15,3,0,0,电信
1596686820,0,12,5,10000,1,移动
1596686820,11,399,7,4000,1,电信
1596686820,12,67,7,2000,0,联通
1596686820,1,14,3,0,0,移动
1596686820,0,48,7,10000,1,联通
1596686820,9,295,7,4000,1,移动
1596686820,1,13,5,2000,0,电信
1596686820,7,132,7,4000,1,联通
1596686820,1,45,5,2000,1,移动
1596686820,1,12,7,4000,1,海外
1596686820,0,14,3,4000,1,联通
1596686820,37,186,7,2000,0,移动
1596686820,13,27,7,500,0,移动
1596686820,0,19,7,0,0,联通
1596686820,0,42,5,4000,1,电信
1596686820,1,76,7,10000,1,电信
1596686820,0,15,3,4000,0,电信
1596686820,8,343,7,2000,1,电信
1596686820,2,12,5,10000,1,联通
1596686820,0,62,7,10000,1,移动
1596686820,18,135,7,2000,0,电信
1596686820,7,14,7,500,0,电信
1596686820,4,59,5,4000,1,移动
1596686820,1,11,3,2000,1,联通
1596686820,2,124,5,2000,0,联通
1596686820,2,16,5,500,0,联通
1596686820,2,72,7,0,0,移动
1596686820,11,68,7,500,1,电信
1596686820,0,21,7,10000,0,移动
1596686820,2,22,3,4000,1,移动
1596686820,0,38,3,4000,1,电信
1596686820,0,14,7,10000,0,电信
1596686820,0,11,5,4000,0,电信
1596686820,6,56,7,500,1,移动
1596686820,13,454,7,2000,1,移动
1596686820,1,27,7,4000,1,小运营商
1596686820,8,56,7,4000,0,联通
1596686820,7,25,7,500,1,联通
1596686820,9,191,7,2000,1,联通
1596686820,1,23,3,10000,1,移动
1596686820,2,144,7,4000,0,移动
1596686820,0,37,5,2000,1,电信
1596686820,1,191,7,4000,0,电信
1596686820,0,12,3,10000,1,电信
1596686880,0,13,7,2000,1,移动
