min,cdn,bitrate,p2p,device,isp,value,cnt
1590810840,5,8500,0,pc_exe,小运营商,0,7
1590810840,7,500,1,adr,海外,2,39
1590810840,7,0,0,adr_tv,移动,34,1158
1590810840,3,500,0,pc_exe,移动,0,3
1590810840,3,4000,0,webh5,电信,0,11
1590810840,7,4000,1,adr_tv,移动,0,3
1590810840,7,500,1,webh5,海外,0,17
1590810840,5,8500,0,webh5,电信,0,7
1590810840,3,2000,1,ipad,联通,1,44
1590810840,7,8500,0,pc_exe,电信,10,1115
1590810840,5,500,1,adr,小运营商,1,5
1590810840,7,8500,0,ios,移动,2,22
1590810840,3,2000,1,webh5,海外,0,1
1590810840,5,8500,0,ios,电信,0,6
1590810840,5,500,1,webh5,移动,0,4
1590810840,5,2000,1,pc_exe,电信,0,6
1590810840,7,4000,1,ipad,教育网,0,3
1590810840,5,4000,1,webh5,教育网,0,4
1590810840,7,2000,1,ios,移动,78,1841
1590810840,7,2000,1,webh5,电信,1,682
1590810840,5,8500,1,adr,联通,8,404
1590810840,7,4000,1,ios,教育网,0,6
1590810840,7,500,0,webh5,海外,0,2
1590810840,5,2000,0,adr,电信,3,168
1590810840,5,2000,0,pc_exe,电信,0,20
1590810840,5,4000,1,webh5,移动,0,54
1590810840,5,2000,0,ios,移动,1,50
1590810840,7,2000,0,ipad,移动,2,17
1590810840,7,8500,1,webh5,移动,4,406
1590810840,7,4500,1,webh5,移动,0,5
1590810840,3,8500,1,webh5,移动,2,63
1590810840,5,4000,0,pc_exe,联通,0,39
1590810840,5,4000,1,pc_exe,联通,0,10
1590810840,3,8500,1,ios,海外,1,4
1590810840,3,500,1,adr,联通,2,61
1590810840,7,4000,1,ipad,小运营商,0,18
1590810840,7,0,1,adr_tv,移动,3,3
1590810840,5,2000,1,ios,联通,11,390
1590810840,3,2000,1,ios,小运营商,0,37
1590810840,3,500,0,ios,电信,0,3
1590810840,7,4000,0,adr_tv,移动,86,1254
1590810840,3,2000,0,ipad,移动,0,3
1590810840,5,4000,1,adr,未知,0,3
1590810840,7,8500,0,webh5,海外,0,4
1590810840,3,8500,1,adr,小运营商,1,62
1590810840,7,2000,1,adr,教育网,0,12
1590810840,7,4500,1,ipad,电信,0,7
1590810840,5,2000,1,pc_exe,移动,3,6
1590810840,7,4000,0,pc_exe,移动,25,2246
1590810840,3,2000,0,adr,移动,3,21
1590810840,5,0,0,adr_tv,联通,1,47
1590810840,5,8500,0,pc_exe,电信,3,85
1590810840,5,0,0,adr,移动,0,23
1590810840,5,4000,0,adr_tv,小运营商,0,6
1590810840,5,8500,1,adr,海外,0,3
1590810840,7,500,1,webh5,小运营商,0,20
1590810840,7,2000,0,ipad,电信,0,14
1590810840,7,4000,1,webh5,联通,5,1525
1590810840,5,4000,1,ipad,电信,0,12
1590810840,3,4000,0,pc_exe,小运营商,0,12
1590810840,7,4000,1,adr,联通,124,5286
1590810840,3,4000,1,adr,未知,0,3
1590810840,3,-1,0,adr_tv,联通,0,1
1590810840,7,2000,0,adr_tv,联通,29,528
1590810840,7,2000,1,pc_exe,电信,4,89
1590810840,7,4000,1,pc_exe,联通,13,340
1590810840,7,4000,0,pc_exe,海外,0,15
1590810840,3,4000,0,adr_tv,电信,16,254
1590810840,5,2000,1,ios,移动,28,614
1590810840,5,4000,0,ios,小运营商,0,3
1590810840,5,500,0,adr_tv,小运营商,0,3
1590810840,5,2000,1,webh5,电信,0,30
1590810840,5,8500,0,pc_exe,移动,0,105
1590810840,3,4000,0,ios,联通,0,3
1590810840,3,2000,0,web,联通,0,5
1590810840,7,8500,0,webh5,电信,0,32
1590810840,3,0,0,adr_tv,小运营商,0,9
1590810840,5,8500,0,ios,移动,0,6
1590810840,3,0,0,adr,电信,5,31
1590810840,3,4000,1,adr,电信,23,988
1590810840,3,2000,0,webh5,移动,0,2
1590810840,3,8500,1,ipad,移动,2,39
1590810840,7,4000,1,adr,海外,2,33
1590810840,3,2000,1,ios,海外,0,30
1590810840,7,500,1,adr,小运营商,4,65
1590810840,5,4000,0,adr_tv,移动,10,188
1590810840,7,500,1,adr,联通,21,611
1590810840,5,0,0,adr_tv,电信,11,148
1590810840,7,500,0,ipad,移动,0,4
1590810840,7,8500,1,ipad,移动,7,399
1590810840,7,2000,0,webh5,移动,0,55
1590810840,5,8500,1,ipad,小运营商,0,8
1590810840,3,8500,1,pc_exe,海外,0,3
1590810840,7,0,0,adr,电信,11,301
1590810840,7,8500,0,pc_exe,联通,4,596
1590810840,7,2000,1,ipad,教育网,0,9
1590810840,5,500,1,webh5,未知,0,2
1590810840,7,2000,1,webh5,联通,2,383
1590810840,5,500,0,adr,电信,1,42
1590810840,3,4000,1,webh5,海外,0,14
1590810840,5,500,1,ios,联通,4,58
1590810840,7,4000,1,ios,未知,1,2
1590810840,5,2000,1,ipad,联通,2,69
1590810840,3,4000,0,web,联通,0,9
1590810840,3,2000,1,pc_exe,电信,0,9
1590810840,3,500,1,webh5,联通,0,3
1590810840,7,4000,0,ios,海外,0,1
1590810840,7,4000,0,ios,联通,2,24
1590810840,5,8500,1,ios,小运营商,0,5
1590810840,7,4000,0,adr,小运营商,0,12
1590810840,3,8500,1,ios,联通,0,53
1590810840,5,2000,1,adr,移动,31,1489
1590810840,5,0,0,adr,小运营商,0,2
1590810840,3,500,1,gamelive,联通,0,3
1590810840,5,4000,0,adr,联通,4,279
1590810840,7,2000,1,pc_exe,联通,3,40
1590810840,3,2000,1,adr,电信,15,508
1590810840,3,8500,1,ipad,海外,1,15
1590810840,3,4000,1,adr,教育网,0,3
1590810840,7,4000,1,adr,电信,185,10128
1590810840,7,4000,1,pc_exe,小运营商,1,33
1590810840,7,500,0,adr_tv,小运营商,3,28
1590810840,3,4000,0,pc_exe,移动,0,64
1590810840,5,2000,0,adr_tv,移动,7,231
1590810840,3,2000,0,ios,联通,3,40
1590810840,7,2000,0,adr,移动,26,409
1590810840,3,0,1,ipad,移动,0,1
1590810840,3,4000,0,adr_tv,联通,8,140
1590810840,3,4000,1,pc_exe,联通,0,15
1590810840,3,4000,0,webh5,移动,0,7
1590810840,7,2000,1,adr,海外,7,110
1590810840,7,500,0,adr,移动,4,91
1590810840,3,8500,0,ios,小运营商,0,3
1590810840,5,8500,1,adr,电信,10,554
1590810840,7,0,1,ipad,电信,0,3
1590810840,7,2000,0,pc_exe,移动,0,328
1590810840,5,4000,1,ipad,移动,0,6
1590810840,7,500,0,pc_exe,移动,2,64
1590810840,5,8500,1,pc_exe,电信,0,17
1590810840,7,4000,0,web,电信,0,1
1590810840,3,2000,1,ipad,小运营商,0,16
1590810840,5,500,1,ios,海外,0,10
1590810840,3,4000,0,adr,移动,9,50
1590810840,7,-1,0,adr_tv,小运营商,0,2
1590810840,7,500,0,ios,电信,2,12
1590810840,7,2000,0,ios,电信,0,45
1590810840,7,4000,1,ios,小运营商,6,70
1590810840,3,2000,0,ipad,联通,1,12
1590810840,7,2000,0,webh5,电信,3,112
1590810840,7,2000,1,adr,联通,120,4280
1590810840,7,500,0,web,联通,0,3
1590810840,7,2000,1,ipad,未知,0,6
1590810840,3,8500,0,pc_exe,电信,0,242
1590810840,7,8500,1,webh5,电信,4,772
1590810840,3,8500,1,ipad,联通,1,40
1590810840,3,-1,0,adr_tv,移动,0,2
1590810840,3,2000,1,ios,移动,23,465
1590810840,3,2000,0,web,电信,0,3
1590810840,7,4000,0,webh5,教育网,0,2
1590810840,5,8500,0,ipad,电信,0,1
1590810840,7,500,0,webh5,移动,0,18
1590810840,7,8500,1,ios,电信,14,367
1590810840,5,2000,0,adr_tv,小运营商,4,15
1590810840,7,500,0,adr_tv,电信,6,112
1590810840,7,500,0,pc_exe,电信,1,68
1590810840,3,8500,0,adr_tv,移动,1,28
1590810840,7,8500,1,pc_exe,移动,3,110
1590810840,5,8500,0,ios,联通,1,106
1590810840,7,500,1,adr,教育网,0,6
1590810840,5,8500,1,ios,移动,8,101
1590810840,5,2000,1,ios,海外,0,34
1590810840,3,500,1,ios,移动,4,156
1590810840,7,500,0,adr,小运营商,0,6
1590810840,3,500,0,adr_tv,联通,2,9
1590810840,3,4000,1,webh5,联通,0,72
1590810840,7,8500,1,pc_exe,小运营商,0,6
1590810840,3,2000,0,adr_tv,联通,16,84
1590810840,7,2000,0,adr,小运营商,1,18
1590810840,5,8500,0,pc_exe,联通,0,69
1590810840,5,8500,1,webh5,小运营商,0,4
1590810840,3,2000,0,pc_exe,联通,3,16
1590810840,5,8500,1,ipad,联通,0,30
1590810840,7,8500,0,adr_tv,联通,3,21
1590810840,7,4000,1,ipad,移动,2,105
1590810840,7,8500,1,ipad,小运营商,0,17
1590810840,5,500,0,adr_tv,联通,0,12
1590810840,7,500,1,pc_exe,移动,0,6
1590810840,7,8500,1,adr,电信,90,2678
1590810840,3,8500,1,pc_exe,联通,1,51
1590810840,8,0,1,ipad,联通,0,1
1590810840,7,8500,0,webh5,移动,0,43
1590810840,7,2000,1,ipad,移动,18,770
1590810840,3,4000,0,webh5,联通,0,3
1590810840,7,500,0,adr,联通,8,50
1590810840,7,8500,0,pc_exe,小运营商,2,72
1590810840,7,8500,0,ios,联通,0,13
1590810840,3,8500,1,ios,移动,3,85
1590810840,7,500,1,ios,海外,3,28
1590810840,7,2000,0,adr,电信,23,397
1590810840,3,8500,1,pc_exe,电信,3,88
1590810840,3,4000,0,pc_exe,电信,0,50
1590810840,7,500,1,ipad,联通,0,6
1590810840,7,0,0,adr_tv,小运营商,5,44
1590810840,3,4000,0,pc_exe,联通,0,31
1590810840,3,8500,1,pc_exe,小运营商,0,8
1590810840,7,4000,1,ipad,海外,0,9
1590810840,3,500,1,webh5,电信,0,4
1590810840,7,2000,0,adr_tv,海外,0,6
1590810840,7,2000,0,pc_exe,未知,0,3
1590810840,7,8500,1,ios,小运营商,0,7
1590810840,3,2000,0,ios,移动,0,5
1590810840,3,4000,1,ios,海外,0,30
1590810840,7,500,0,webh5,联通,0,14
1590810840,7,2000,1,ios,联通,35,1037
1590810840,7,4000,0,adr,海外,0,8
1590810840,3,2000,0,pc_exe,电信,1,8
1590810840,7,4000,1,webh5,移动,15,2531
1590810840,5,8500,1,pc_exe,移动,0,39
1590810840,5,500,1,adr,海外,0,12
1590810840,5,500,0,adr,移动,2,86
1590810840,5,500,0,adr_tv,电信,0,18
1590810840,7,2000,0,adr_tv,移动,128,1410
1590810840,3,0,0,ipad,电信,0,2
1590810840,5,2000,1,adr,联通,28,779
1590810840,7,2000,1,webh5,小运营商,0,55
1590810840,3,500,1,webh5,移动,0,4
1590810840,3,8500,1,adr,联通,1,269
1590810840,3,2000,1,pc_exe,移动,0,9
1590810840,3,4000,1,pc_exe,海外,0,2
