min,cdn,bitrate,p2p,value,cnt
1574160900,3,2000,0,226,6153
1574160900,8,0,1,0,4
1574160900,3,1200,1,643,29303
1574160900,5,2000,0,205,16961
1574160900,6,500,0,0,1
1574160900,4,0,1,0,6
1574160900,3,0,1,1,33
1574160900,5,8000,0,23,1491
1574160900,3,1200,0,57,1846
1574160900,5,0,0,0,13
1574160900,5,4000,1,162,8635
1574160900,255,4294967,0,0,4
1574160900,3,8000,1,423,28720
1574160900,3,2000,1,2130,115426
1574160900,255,0,2,0,18
1574160900,4,2000,1,0,6
1574160900,5,2000,1,179,7733
1574160900,1,4000,1,26,1623
1574160900,5,500,0,44,2720
1574160900,1,8000,1,25,1371
1574160900,3,500,0,59,1201
1574160900,1,1200,1,22,482
1574160900,3,-1,0,0,2
1574160900,5,500,1,39,1213
1574160900,1,500,1,18,459
1574160900,3,8000,0,41,4818
1574160900,3,4000,0,225,16807
1574160900,1,2000,0,7,294
1574160900,1,2000,1,52,1442
1574160900,1,500,0,6,51
1574160900,4,4000,1,0,2
1574160900,0,0,0,0,6
1574160900,3,4000,1,1515,145300
1574160900,5,1200,0,67,5302
1574160900,4,1200,1,2,10
1574160900,1,8000,0,9,912
1574160900,3,500,1,433,23907
1574160900,1,0,1,0,2
1574160900,5,0,1,0,2
1574160900,1,0,0,0,12
1574160900,7,0,1,0,2
1574160900,1,1200,0,4,66
1574160900,3,0,0,20,2717
1574160900,6,2000,1,0,1
1574160900,6,0,1,1,2
1574160900,5,4000,0,37,1584
1574160900,5,8000,1,25,1987
1574160900,5,1200,1,52,1612
1574160900,1,4000,0,9,449
1574160960,1,500,0,7,48
1574160960,3,8000,1,391,29247
1574160960,255,0,2,0,18
1574160960,7,2000,1,0,1
1574160960,3,-1,0,0,1
1574160960,1,1200,1,30,518
1574160960,5,4000,0,36,1626
1574160960,5,0,0,0,14
1574160960,4,0,1,0,9
1574160960,255,4294967,0,0,6
1574160960,3,0,1,1,25
1574160960,3,0,0,29,2765
1574160960,1,2000,1,54,1482
1574160960,1,500,1,17,479
1574160960,6,2000,1,0,1
1574160960,5,2000,0,258,17706
1574160960,1,4000,0,11,447
1574160960,1,2000,0,7,313
