min,cdn,bitrate,device,p2p,value,cnt
1566644280,5,1200,C1,1,0,92
1566644280,8,1200,C7,0,0,64
1566644280,5,0,C1,0,1,16
1566644280,5,500,C3,1,0,6
1566644280,1,0,C2,0,0,3
1566644280,8,500,C3,1,6,251
1566644280,5,500,C1,1,3,27
1566644280,8,0,C8,0,0,7
1566644280,3,1200,C1,0,0,3
1566644280,3,1200,C1,1,0,9
1566644280,1,1200,C3,1,1,9
1566644280,1,500,C7,0,0,3
1566644280,8,1200,C5,1,1,67
1566644280,5,1200,C1,0,2,70
1566644280,8,500,C2,0,3,9
1566644280,8,500,C8,0,0,5
1566644280,3,0,C8,0,0,1
1566644280,8,0,C8,1,0,1
1566644280,8,1200,C8,1,3,1114
1566644280,8,500,C8,1,0,152
1566644280,8,1200,C8,0,0,5
1566644280,3,1200,C8,1,0,6
1566644280,8,500,C1,0,2,25
1566644280,8,4000,C8,1,0,3
1566644280,8,1200,C1,1,32,1179
1566644280,8,1200,C6,0,0,71
1566644280,3,1200,C3,1,2,15
1566644280,3,500,C3,1,0,6
1566644280,8,0,C2,0,1,56
1566644280,1,1200,C7,0,0,6
1566644280,3,500,C1,0,0,16
1566644280,1,1200,C6,0,0,2
1566644280,3,500,C1,1,0,3
1566644280,8,500,C7,0,0,15
1566644280,5,0,C5,1,0,2
1566644280,5,1200,C8,1,0,2
1566644280,5,500,C3,0,1,28
1566644280,8,2000,C6,0,0,2
1566644280,3,1200,C3,0,0,6
1566644280,5,500,C1,0,5,61
1566644280,1,500,C8,1,0,3
1566644280,5,1200,C3,0,1,24
1566644280,1,8000,C8,1,0,3
1566644280,8,1200,C5,0,0,2
1566644280,1,1200,C8,1,0,55
1566644280,8,1200,C3,1,14,764
1566644280,1,500,C1,1,0,4
1566644280,8,1200,C1,0,3,38
1566644280,1,1200,C5,1,0,2
1566644280,5,1200,C3,1,2,42
1566644280,1,500,C1,0,0,3
1566644280,8,1200,C3,0,0,9
1566644280,8,2000,C8,1,0,3
1566644280,8,500,C1,1,15,484
1566644280,1,1200,C1,1,1,18
1566644280,8,500,C5,1,0,9
1566644280,8,1200,C2,0,0,2
1566644340,1,1200,C7,0,0,6
1566644340,3,500,C1,0,0,14
1566644340,3,1200,C3,0,0,6
1566644340,8,1200,C7,0,0,64
1566644340,8,1200,C3,0,1,11
1566644340,5,500,C1,0,6,54
1566644340,8,500,C8,0,0,5
1566644340,8,0,C2,0,1,48
1566644340,8,500,C8,1,0,160
1566644340,1,500,C1,0,0,3
1566644340,8,1200,C5,1,0,57
1566644340,5,0,C5,1,0,2
