min,cdn,bitrate,p2p,device,value,cnt
1581750600,3,-1,0,C2,0,3
1581750600,3,0,0,C1,4,253
1581750600,3,0,0,C2,50,3167
1581750600,3,0,0,C3,1,10
1581750600,3,0,0,C8,0,24
1581750600,3,0,1,C2,0,3
1581750600,3,0,1,C3,9,68
1581750600,3,0,1,C5,0,2
1581750600,3,500,0,C1,63,2501
1581750600,3,500,0,C2,29,546
1581750600,3,500,0,C3,25,378
1581750600,3,500,0,C4,1,2
1581750600,3,500,0,C5,0,130
1581750600,3,500,0,C6,5,377
1581750600,3,500,0,C7,2,210
1581750600,3,500,0,C8,1,189
1581750600,3,500,1,C1,436,21552
1581750600,3,500,1,C3,168,7043
1581750600,3,500,1,C4,0,59
1581750600,3,500,1,C5,20,453
1581750600,3,500,1,C6,0,6
1581750600,3,500,1,C8,8,2942
1581750600,3,2000,0,C1,0,1
1581750600,3,2500,0,C1,132,4574
1581750600,3,2500,0,C2,127,2349
1581750600,3,2500,0,C3,30,622
1581750600,3,2500,0,C5,2,124
1581750600,3,2500,0,C6,22,909
1581750600,3,2500,0,C7,5,289
1581750600,3,2500,0,C8,2,320
1581750600,3,2500,1,C1,1240,71298
1581750600,3,2500,1,C2,1,6
1581750600,3,2500,1,C3,496,20652
1581750600,3,2500,1,C5,66,5550
1581750600,3,2500,1,C6,1,37
1581750600,3,2500,1,C8,25,8305
1581750600,3,4500,0,C1,66,2221
1581750600,3,4500,0,C2,30,1430
1581750600,3,4500,0,C3,21,249
1581750600,3,4500,0,C5,0,5
1581750600,3,4500,0,C6,95,9588
1581750600,3,4500,0,C7,3,355
1581750600,3,4500,0,C8,3,719
1581750600,3,4500,1,C1,809,45674
1581750600,3,4500,1,C3,533,18107
1581750600,3,4500,1,C5,12,708
1581750600,3,4500,1,C6,11,237
1581750600,3,4500,1,C8,94,29736
1581750600,3,8000,0,C1,0,3
1581750600,3,8000,0,C2,2,212
1581750600,3,8000,0,C3,5,156
1581750600,3,8000,0,C5,0,18
1581750600,3,8000,0,C6,25,2222
1581750600,3,8000,0,C7,7,955
1581750600,3,8000,0,C8,0,90
1581750600,3,8000,1,C1,116,4921
1581750600,3,8000,1,C3,41,1202
1581750600,3,8000,1,C5,16,1243
1581750600,3,8000,1,C6,0,91
1581750600,3,8000,1,C8,4,2464
1581750600,5,-1,0,C2,0,2
1581750600,5,0,0,C1,5,121
1581750600,5,0,0,C2,11,322
1581750600,5,0,0,C3,0,8
1581750600,5,0,1,C3,1,7
1581750600,5,0,1,C4,12,12
1581750600,5,0,1,C5,0,5
1581750600,5,500,0,C1,51,4086
1581750600,5,500,0,C2,14,87
1581750600,5,500,0,C3,25,1106
1581750600,5,500,0,C5,0,9
1581750600,5,500,0,C6,0,37
1581750600,5,500,0,C8,0,6
1581750600,5,500,1,C1,129,6204
1581750600,5,500,1,C3,73,2625
1581750600,5,500,1,C4,0,6
1581750600,5,500,1,C5,1,83
1581750600,5,500,1,C8,0,134
1581750600,5,2500,0,C1,100,9279
1581750600,5,2500,0,C2,27,249
1581750600,5,2500,0,C3,48,3329
1581750600,5,2500,0,C5,2,24
1581750600,5,2500,0,C6,3,140
1581750600,5,2500,0,C8,0,43
1581750600,5,2500,1,C1,337,17242
1581750600,5,2500,1,C3,225,6223
1581750600,5,2500,1,C5,12,795
1581750600,5,2500,1,C8,3,429
1581750600,5,4500,0,C1,9,676
1581750600,5,4500,0,C2,5,120
1581750600,5,4500,0,C3,0,291
1581750600,5,4500,0,C5,0,3
1581750600,5,4500,0,C6,2,256
1581750600,5,4500,0,C8,0,30
1581750600,5,4500,1,C1,176,12502
1581750600,5,4500,1,C3,151,5257
1581750600,5,4500,1,C5,7,97
1581750600,5,4500,1,C6,0,6
1581750600,5,4500,1,C8,8,988
1581750600,5,8000,0,C1,2,15
1581750600,5,8000,0,C2,1,15
1581750600,5,8000,0,C3,3,67
1581750600,5,8000,0,C6,11,749
1581750600,5,8000,0,C7,0,6
1581750600,5,8000,0,C8,0,13
1581750600,5,8000,1,C1,25,1312
1581750600,5,8000,1,C3,18,288
1581750600,5,8000,1,C5,3,160
1581750600,5,8000,1,C6,3,6
1581750600,5,8000,1,C8,0,222
1581750600,6,0,1,C5,0,4
1581750600,7,2500,1,C3,0,1
