min,cdn,bitrate,p2p,device,isp,platform,gameid,value,cnt
1581771420,3,500,0,C2,电信,pc_exe_template,3203,4,19
1581771420,7,500,1,C1,联通/电信/铁通,pc_exe_template,3203,0,3
1581772380,3,4500,1,C8,联通,pc_exe_template,3203,0,11
1581771240,5,4500,1,C1,联通,pc_exe_template,3203,2,75
1581771240,7,500,1,C3,移动,pc_exe_template,3203,0,94
1581771360,5,500,0,C2,联通,pc_exe_template,3203,0,6
1581771720,7,4500,0,C1,珠江宽频/联通,pc_exe_template,3203,0,3
1581771780,7,8000,0,C3,移动,pc_exe_template,3203,0,15
1581771840,7,500,0,C6,湖北广电,pc_exe_template,3203,0,2
1581772080,7,4500,1,C1,广电网,pc_exe_template,3203,1,28
1581771480,7,4500,1,C5,联通,pc_exe_template,3203,0,3
1581771600,7,500,0,C2,广东广电/联通,pc_exe_template,3203,0,1
1581771720,3,8000,1,C1,联通,pc_exe_template,3203,2,22
1581771720,7,2500,0,C2,移动/铁通,pc_exe_template,3203,0,3
1581772320,3,2500,1,C3,广电网/联通,pc_exe_template,3203,0,1
1581771240,5,4500,0,C2,联通,pc_exe_template,3203,0,7
1581771540,3,500,1,C8,联通,pc_exe_template,3203,0,4
1581771540,7,2500,1,C8,浙江华数/联通,pc_exe_template,3203,0,10
1581771720,7,4500,0,C6,湖北广电,pc_exe_template,3203,0,2
1581771960,7,4500,1,C3,陕西广电/联通/电信,pc_exe_template,3203,0,3
1581772080,7,4500,0,C2,广电网,pc_exe_template,3203,0,3
1581772260,7,500,0,C7,移动,pc_exe_template,3203,0,3
1581772380,3,0,0,C2,广东广电/联通,pc_exe_template,3203,0,1
1581771480,5,2500,0,C1,移动,pc_exe_template,3203,2,29
1581771480,7,8000,1,C3,联通,pc_exe_template,3203,0,14
1581772020,3,8000,1,C3,联通,pc_exe_template,3203,0,1
1581772140,3,0,0,C2,电信,pc_exe_template,3203,0,59
1581771480,3,4500,1,C1,广电网,pc_exe_template,3203,0,3
1581771720,5,4500,1,C3,pccw.com,pc_exe_template,3203,0,1
1581771720,7,500,1,C1,tm.com.my,pc_exe_template,3203,0,4
1581772260,5,4500,1,C1,移动,pc_exe_template,3203,15,323
1581772260,7,2500,1,C1,联通,pc_exe_template,3203,35,964
1581772320,7,500,0,C2,湖北广电,pc_exe_template,3203,0,3
1581772440,5,500,1,C3,电信,pc_exe_template,3203,0,2
1581771480,3,2500,1,C8,移动,pc_exe_template,3203,0,6
1581771840,5,4500,1,C3,联通,pc_exe_template,3203,0,30
1581772260,3,0,0,C2,广西广电/联通,pc_exe_template,3203,0,2
1581772260,7,2500,1,C1,电信,pc_exe_template,3203,61,2080
1581772260,7,8000,1,C5,电信,pc_exe_template,3203,0,11
1581772380,3,2500,1,C1,鹏博士,pc_exe_template,3203,0,3
1581771600,3,4500,1,C1,浙江华数/联通,pc_exe_template,3203,2,3
1581771600,3,4500,1,C8,laotel.com,pc_exe_template,3203,0,3
1581771720,7,2500,1,C3,联通/电信/铁通,pc_exe_template,3203,0,4
1581772200,5,2500,1,C1,鹏博士,pc_exe_template,3203,0,15
1581771300,5,2500,0,C3,移动,pc_exe_template,3203,0,3
1581771240,3,4500,1,C1,电信,pc_exe_template,3203,2,114
1581771300,5,4500,1,C8,鹏博士,pc_exe_template,3203,0,1
1581771360,5,4500,1,C3,湖南有线/联通,pc_exe_template,3203,0,2
1581771540,7,2500,1,C5,鹏博士/电信,pc_exe_template,3203,0,3
1581771600,3,2500,1,C1,移动,pc_exe_template,3203,15,162
1581771600,3,8000,1,C5,移动,pc_exe_template,3203,0,9
1581771600,5,2500,1,C3,tpg.com.au,pc_exe_template,3203,0,2
1581771720,5,4500,1,C8,电信,pc_exe_template,3203,0,2
1581771840,7,4500,1,C1,浙江华数/联通,pc_exe_template,3203,0,24
1581771960,7,500,0,C5,*,pc_exe_template,3203,0,1
1581772380,3,4500,1,C1,浙江华数/联通,pc_exe_template,3203,0,3
1581772380,3,4500,1,C8,laotel.com,pc_exe_template,3203,0,3
1581771660,7,2500,0,C3,uplus.co.kr,pc_exe_template,3203,0,2
1581771720,7,500,0,C2,广东广电/联通,pc_exe_template,3203,0,3
1581771840,3,8000,1,C1,联通,pc_exe_template,3203,0,22
1581771840,7,2500,0,C2,移动/铁通,pc_exe_template,3203,1,5
1581772260,7,4500,1,C8,鹏博士/电信,pc_exe_template,3203,0,2
1581771240,5,2500,1,C1,鹏博士,pc_exe_template,3203,0,6
1581771660,5,2500,1,C1,电信,pc_exe_template,3203,15,277
1581771720,7,2500,1,C8,鹏博士,pc_exe_template,3203,0,6
1581772200,3,4500,1,C1,湖北广电,pc_exe_template,3203,3,12
1581772200,7,4500,0,C6,广电网,pc_exe_template,3203,0,3
1581772260,5,500,1,C1,联通,pc_exe_template,3203,1,29
1581771240,7,4500,1,C3,移动,pc_exe_template,3203,11,224
1581771420,7,500,0,C2,联通/电信/铁通,pc_exe_template,3203,0,3
1581771660,7,2500,1,C8,浙江华数/联通,pc_exe_template,3203,0,7
1581771780,3,4500,1,C3,移动,pc_exe_template,3203,1,51
1581771780,5,2500,1,C3,联通,pc_exe_template,3203,2,40
1581771840,7,4500,0,C6,湖北广电,pc_exe_template,3203,0,5
1581771900,7,8000,0,C6,广东广电/联通,pc_exe_template,3203,0,3
1581771960,3,8000,1,C3,鹏博士/电信,pc_exe_template,3203,0,3
1581772080,7,4500,1,C3,陕西广电/联通/电信,pc_exe_template,3203,2,4
1581772380,7,500,0,C7,移动,pc_exe_template,3203,0,3
1581771240,3,4500,1,C1,湖北广电,pc_exe_template,3203,2,5
1581771300,5,500,1,C1,联通,pc_exe_template,3203,1,35
1581771360,7,2500,1,C3,tm.com.my,pc_exe_template,3203,0,1
1581771480,6,2500,0,C3,联通,pc_exe_template,3203,0,2
1581771780,7,500,1,C8,联通,pc_exe_template,3203,0,37
1581772140,7,4500,1,C8,黑龙江广电,pc_exe_template,3203,0,3
1581772320,7,8000,0,C8,联通,pc_exe_template,3203,0,2
1581771480,3,8000,1,C5,电信,pc_exe_template,3203,2,9
1581771480,5,500,1,C1,电信,pc_exe_template,3203,0,45
1581771540,7,500,1,C8,鹏博士,pc_exe_template,3203,0,3
1581771720,3,500,1,C1,digi.com.my,pc_exe_template,3203,0,3
1581772080,7,8000,1,C5,浙江华数/联通,pc_exe_template,3203,0,3
1581772380,7,4500,0,C1,广东广电/联通,pc_exe_template,3203,0,8
1581771480,7,4500,1,C1,广电网/联通,pc_exe_template,3203,0,6
1581771600,7,4500,1,C8,广西广电/联通,pc_exe_template,3203,0,1
1581772260,5,4500,0,C1,移动,pc_exe_template,3203,0,3
1581772260,7,2500,0,C1,联通,pc_exe_template,3203,0,32
1581772320,3,-1,0,C2,广西广电/联通,pc_exe_template,3203,0,1
1581772380,3,2500,1,C8,gigalinkhk.com,pc_exe_template,3203,0,3
1581771360,3,8000,1,C1,电信,pc_exe_template,3203,0,37
1581771420,5,2500,1,C1,广西广电/联通,pc_exe_template,3203,0,3
1581771420,8,0,1,C5,移动,pc_exe_template,3203,0,1
1581771480,7,2500,1,C5,移动,pc_exe_template,3203,3,104
1581771600,5,2500,0,C3,vodafone.es,pc_exe_template,3203,0,2
1581771660,3,4500,1,C5,电信,pc_exe_template,3203,0,3
1581771840,5,8000,1,C8,电信,pc_exe_template,3203,0,5
1581771900,7,2500,1,C8,广西广电/联通,pc_exe_template,3203,0,2
1581772020,3,2500,1,C5,移动,pc_exe_template,3203,0,10
1581771420,3,8000,0,C7,联通,pc_exe_template,3203,0,3
1581771540,7,2500,1,C1,天威视讯/联通,pc_exe_template,3203,0,7
1581771900,7,500,1,C3,广电网/联通,pc_exe_template,3203,0,3
1581772140,7,4500,0,C1,联通,pc_exe_template,3203,0,6
1581772320,5,500,1,C3,singtel.com,pc_exe_template,3203,0,3
1581771720,7,4500,1,C1,广东广电/联通,pc_exe_template,3203,0,6
1581771420,5,8000,0,C6,移动,pc_exe_template,3203,0,4
1581771420,7,0,0,C2,湖北广电,pc_exe_template,3203,0,5
1581771480,7,2500,0,C8,联通,pc_exe_template,3203,0,3
1581772320,5,4500,1,C3,鹏博士/科技网,pc_exe_template,3203,1,2
1581772380,7,2500,1,C1,广电网/联通,pc_exe_template,3203,1,16
1581771240,5,4500,1,C3,移动,pc_exe_template,3203,2,53
1581771240,7,2500,1,C3,联通,pc_exe_template,3203,6,131
1581771300,7,2500,0,C6,电信,pc_exe_template,3203,0,10
1581771780,3,2500,1,C3,联通,pc_exe_template,3203,2,26
1581771900,7,500,0,C6,联通,pc_exe_template,3203,1,7
1581771300,5,500,0,C3,联通,pc_exe_template,3203,0,13
1581771660,7,8000,0,C7,联通,pc_exe_template,3203,0,3
1581772200,3,8000,0,C7,联通,pc_exe_template,3203,0,3
1581772320,7,2500,1,C1,天威视讯/联通,pc_exe_template,3203,0,6
1581771360,7,8000,0,C6,鹏博士,pc_exe_template,3203,0,7
1581771480,3,2500,1,C1,广电网/联通,pc_exe_template,3203,0,3
1581771720,5,2500,0,C1,移动,pc_exe_template,3203,2,36
