min,cdn,p2p,bitrate,isp,value,cnt
1582006740,3,0,4500,联通,3,99
1582006740,5,1,4500,电信,14,423
1582006740,5,1,500,海外,0,8
1582006740,3,1,4500,未知,0,3
1582006740,3,0,2500,电信,13,276
1582006740,7,0,500,电信,0,1
1582006740,3,1,2500,电信,51,1814
1582006740,255,0,4294967,电信,0,1
1582006740,5,0,500,联通,2,87
1582006740,5,0,4500,联通,2,32
1582006740,3,1,500,未知,1,10
1582006740,5,0,500,移动,4,16
1582006740,5,1,6000,电信,3,106
1582006740,255,0,4294967,移动,0,1
1582006740,5,1,500,电信,2,63
1582006740,5,0,6000,移动,1,28
1582006740,5,1,4500,联通,4,172
1582006740,3,0,0,联通,2,68
1582006740,3,0,0,电信,1,205
1582006740,5,0,2500,小运营商,0,1
1582006740,5,1,2500,移动,2,350
1582006740,5,0,0,电信,1,30
1582006740,5,1,2500,小运营商,0,36
1582006740,3,0,4500,电信,3,222
1582006740,3,0,500,海外,0,8
1582006740,3,1,2500,海外,0,69
1582006740,5,0,2500,移动,1,55
1582006740,3,1,4500,小运营商,0,113
1582006740,3,0,2500,联通,16,138
1582006740,3,0,2500,海外,0,6
1582006740,3,1,2500,联通,21,908
1582006740,4,1,2500,移动,0,1
1582006740,3,0,4500,小运营商,0,24
1582006740,5,1,500,联通,2,38
1582006740,5,0,0,未知,0,2
1582006740,255,0,4294967,联通,0,1
1582006740,5,0,4500,电信,0,7
1582006740,5,1,6000,小运营商,0,7
1582006740,3,0,2500,小运营商,1,15
1582006740,3,0,500,移动,9,67
1582006740,5,0,500,电信,1,14
1582006740,3,1,2500,未知,1,12
1582006740,5,1,500,小运营商,0,7
1582006740,3,0,6000,海外,0,1
1582006740,3,1,4500,移动,31,1644
1582006740,255,2,0,移动,0,3
1582006740,5,1,6000,联通,3,45
1582006740,3,1,500,小运营商,0,14
1582006740,5,1,4500,移动,11,289
1582006740,7,1,0,移动,0,1
1582006740,3,1,6000,联通,6,371
1582006740,3,1,6000,海外,0,4
1582006740,5,0,0,移动,2,20
1582006740,3,0,6000,联通,2,57
1582006740,5,0,6000,联通,0,21
1582006740,5,0,4500,移动,1,25
1582006740,5,1,6000,海外,0,3
1582006740,3,0,0,移动,0,179
1582006740,3,0,4500,移动,6,202
1582006740,3,0,0,小运营商,0,6
1582006740,3,0,-1,移动,0,1
1582006740,3,1,2500,小运营商,2,112
1582006740,5,1,2500,电信,4,336
1582006740,5,1,500,移动,1,175
1582006740,5,0,6000,电信,0,19
1582006740,3,1,2500,移动,50,1883
1582006740,5,0,2500,电信,0,34
1582006740,255,2,0,联通,0,3
1582006740,3,1,4500,联通,14,785
1582006740,7,0,2500,电信,0,1
1582006740,3,1,4500,教育网,0,2
1582006740,3,0,4500,海外,0,5
1582006740,3,1,6000,移动,15,522
1582006740,3,0,500,电信,2,101
1582006740,5,0,0,联通,0,21
1582006740,3,0,6000,移动,0,84
1582006740,3,0,2500,移动,13,255
1582006740,3,1,500,电信,9,314
1582006740,3,1,4500,海外,0,25
