min,cdn,p2p,bitrate,device,value,cnt
1584479520,5,0,4000,C6,0,3
1584479520,3,1,4000,C1,1,403
1584479520,3,0,2500,C1,3,51
1584479520,5,0,500,C1,0,42
1584479520,5,1,500,C1,1,105
1584479520,5,0,0,C2,0,6
1584479520,5,0,2500,C1,0,54
1584479520,5,1,4000,C1,0,103
1584479520,5,1,2500,C1,0,72
1584479520,3,0,4000,C7,0,6
1584479520,5,1,4000,C3,0,52
1584479520,3,1,500,C1,2,315
1584479520,3,0,500,C6,0,2
1584479520,3,0,4000,C6,0,31
1584479520,3,0,0,C2,0,42
1584479520,5,1,4000,C8,0,3
1584479520,5,0,2500,C3,0,15
1584479520,3,0,2500,C7,0,3
1584479520,3,0,500,C8,0,2
1584479520,3,1,500,C8,0,41
1584479520,3,1,4000,C8,0,121
1584479520,3,1,500,C5,0,3
1584479520,3,0,4000,C8,0,2
1584479520,3,1,2500,C8,0,16
1584479520,5,1,500,C8,0,2
1584479520,3,0,2500,C5,0,3
1584479520,5,1,500,C5,0,3
1584479520,3,0,500,C2,0,15
1584479520,3,0,500,C7,0,3
1584479520,3,1,500,C3,3,141
1584479520,3,1,2500,C1,4,419
1584479520,3,0,500,C1,0,27
1584479520,3,1,2500,C5,0,36
1584479520,5,1,2500,C3,0,77
1584479520,3,1,2500,C3,0,218
1584479520,3,0,2500,C2,0,6
1584479520,5,1,500,C3,2,40
1584479520,3,0,4000,C2,0,9
1584479520,5,0,500,C3,0,12
1584479520,5,0,500,C2,0,3
1584479520,3,1,4000,C3,0,220
1584479520,3,0,0,C1,0,12
1584479520,3,0,2500,C3,0,9
1584479520,5,1,2500,C5,0,6
1584479580,3,1,500,C3,3,148
1584479580,3,0,2500,C2,0,7
1584479580,3,1,500,C8,0,40
1584479580,5,1,4000,C3,2,50
1584479580,5,1,500,C1,0,106
1584479580,3,0,4000,C7,0,6
1584479580,5,0,500,C1,2,48
1584479580,5,1,2500,C5,0,4
1584479580,3,0,2500,C3,0,9
1584479580,3,1,4000,C1,2,406
1584479580,3,1,500,C5,0,3
1584479580,3,0,4000,C2,0,9
1584479580,3,1,4000,C3,1,255
1584479580,3,0,500,C2,0,15
1584479580,3,0,500,C6,0,1
1584479580,3,0,0,C1,0,12
1584479580,3,1,2500,C1,3,433
1584479580,3,1,2500,C5,0,36
1584479580,5,0,2500,C3,0,15
1584479580,3,0,2500,C5,0,3
1584479580,3,1,500,C1,1,320
1584479580,5,1,2500,C1,0,75
1584479580,3,0,500,C7,0,3
1584479580,5,0,4000,C6,0,3
1584479580,5,1,500,C5,0,5
1584479580,5,0,2500,C1,0,58
1584479580,5,1,4000,C1,0,102
1584479580,5,1,2500,C3,0,75
1584479580,3,0,500,C1,2,27
1584479580,3,0,2500,C1,5,51
1584479580,5,1,500,C3,0,48
1584479580,3,0,4000,C8,0,4
1584479580,5,0,500,C3,0,12
1584479580,3,1,2500,C3,1,225
1584479580,3,0,2500,C7,0,3
1584479580,3,0,4000,C6,0,27
1584479580,3,1,2500,C8,0,21
1584479580,3,1,4000,C8,0,124
1584479580,3,0,0,C2,1,42
1584479580,5,0,500,C2,0,3
1584479580,5,0,0,C2,0,6
1584479580,3,1,4000,C6,0,1
1584479580,5,1,4000,C8,0,3
1584479580,3,0,500,C8,0,3
1584479580,3,0,2500,C6,0,2
1584479580,5,1,500,C8,0,3
1584479640,3,0,4000,C7,0,6
1584479640,5,1,500,C8,0,2
1584479640,3,1,500,C1,1,324
1584479640,5,1,500,C5,0,3
1584479640,5,0,0,C2,0,6
1584479640,5,1,4000,C3,0,46
1584479640,3,0,500,C1,2,24
1584479640,3,1,4000,C8,0,125
1584479640,5,0,4000,C6,0,3
