min,cdn,p2p,device,bitrate,isp,value,cnt
1587334440,3,1,C1,2500,移动,6,230
1587334440,3,1,C8,500,小运营商,0,3
1587334440,3,1,C1,8000,联通,0,4
1587334440,5,0,C8,2500,联通,0,4
1587334440,3,0,C2,0,电信,0,27
1587334440,5,0,C1,0,移动,0,15
1587334440,5,0,C6,500,海外,0,5
1587334440,3,0,C2,4500,电信,0,9
1587334440,3,1,C3,2500,移动,22,283
1587334440,5,0,C5,8000,联通,0,3
1587334440,5,1,C1,500,移动,20,1320
1587334440,3,0,C3,2500,移动,6,9
1587334440,5,0,C2,8000,联通,0,3
1587334440,5,1,C3,2500,海外,6,159
1587334440,5,0,C3,4500,移动,0,21
1587334440,5,0,C1,2500,小运营商,2,30
1587334440,5,0,C2,2500,联通,9,61
1587334440,3,0,C7,2500,电信,0,3
1587334440,5,0,C1,500,移动,5,171
1587334440,5,0,C6,2500,移动,0,37
1587334440,5,1,C5,4500,移动,0,6
1587334440,3,0,C3,2500,电信,0,17
1587334440,3,0,C7,2500,移动,0,6
1587334440,5,1,C3,4500,移动,43,1302
1587334440,8,1,C1,2500,电信,0,3
1587334440,5,0,C6,500,联通,1,9
1587334440,5,0,C7,8000,电信,0,3
1587334440,5,0,C1,4500,电信,1,102
1587334440,5,0,C3,500,电信,2,26
1587334440,3,0,C2,0,联通,0,6
1587334440,3,1,C5,2500,联通,0,27
1587334440,3,0,C2,2500,移动,3,21
1587334440,5,1,C5,2500,移动,3,332
1587334440,3,1,C8,8000,海外,0,3
1587334440,5,0,C2,8000,移动,0,3
1587334440,3,1,C1,500,海外,0,22
1587334440,3,0,C1,2500,电信,0,12
1587334440,5,1,C5,8000,电信,0,63
1587334440,5,1,C8,8000,联通,0,5
1587334440,3,0,C6,8000,移动,0,3
1587334440,5,0,C6,4500,移动,1,118
1587334440,5,0,C2,500,联通,0,9
1587334440,5,0,C3,2500,联通,6,429
1587334440,3,1,C5,500,联通,0,3
1587334440,5,0,C6,2500,海外,0,11
1587334440,3,1,C3,4500,海外,1,9
1587334440,3,0,C2,4500,联通,0,3
1587334440,3,0,C6,2500,电信,0,4
