min,cdn,bitrate,device,p2p,value,cnt
1568198820,7,1500,C3,0,0,7
1568199060,3,1500,C7,0,0,2
1568199360,1,1200,C2,0,53,582
1568199420,8,2000,C5,1,26,1858
1568199660,5,4000,C6,1,0,3
1568200020,1,2000,C3,0,2,28
1568199060,1,4000,C3,1,39,1826
1568199060,8,500,C5,1,1,109
1568199600,8,4000,C7,0,4,314
1568199840,6,8000,C5,0,0,6
1568198880,1,2000,C7,0,21,888
1568199120,8,1500,C6,0,1,5
1568199420,6,1200,C1,0,27,436
1568199960,1,0,C2,1,1,18
1568199960,8,8000,C3,1,67,2797
1568199000,3,2000,C4,1,0,15
1568199840,3,1500,C1,0,3,68
1568198880,3,1500,C8,1,0,6
1568198940,8,4000,C6,0,43,2643
1568199000,1,500,C2,0,29,586
1568199180,1,1200,C3,1,186,7004
1568199600,6,500,C5,0,0,6
1568199720,8,1200,C7,0,0,88
1568198880,5,8000,C7,0,46,7412
1568199120,1,0,C4,1,1,27
1568198940,6,2000,C5,0,0,101
1568198940,7,4000,C2,0,133,1552
1568199180,3,4000,C6,0,117,12112
1568199600,5,500,C1,0,492,26597
1568199720,7,1200,C3,0,10,601
1568199840,1,500,C5,0,3,126
1568199960,3,1200,C7,0,51,1539
1568198820,5,1500,C3,0,0,8
1568199000,7,0,C2,1,0,10
1568199420,6,2000,C5,1,4,447
1568199420,7,4000,C2,1,1,4
1568199660,3,4000,C6,1,0,2
1568199060,6,500,C2,0,0,17
1568199240,6,1200,C3,1,17,1067
1568199480,7,8000,C8,0,1,159
1568199900,6,2000,C4,1,0,3
1568199900,7,4000,C1,1,99,3853
1568199000,7,0,C4,1,0,3
1568199660,3,4000,C8,1,375,79868
1568199780,3,2000,C1,0,2478,102317
1568198940,5,1200,C9,1,0,3
1568199600,8,8000,C1,1,203,7068
1568199960,3,4000,C1,0,135,4785
1568198880,3,8000,C5,1,47,2151
1568199240,5,500,C7,0,7,886
1568199240,8,1500,C3,0,0,3
1568199420,5,1200,C8,1,6,3956
1568198820,1,500,C8,1,10,3941
1568198880,8,2000,C5,0,1,218
1568199120,5,4000,C6,0,74,7724
1568199540,7,500,C1,0,29,1106
1568199780,3,500,C5,0,15,415
1568199900,5,1200,C7,0,3,424
1568199120,3,2000,C3,0,354,22573
1568199240,1,8000,C8,1,8,1321
1568199360,7,500,C6,0,3,20
1568199420,5,500,C5,1,34,656
1568199840,8,500,C1,1,151,5882
1568199960,8,0,C3,0,0,13
1568198940,3,1200,C2,0,331,5179
1568199600,3,2000,C3,0,1324,41436
1568199720,1,8000,C8,1,3,1293
1568199900,5,500,C5,1,38,715
1568199000,8,500,C2,0,15,208
1568199180,8,1200,C3,1,76,4072
1568199480,3,1500,C6,0,0,4
1568199780,1,1200,C1,0,72,1139
1568199840,8,2000,C4,1,0,3
1568199120,3,4000,C1,1,652,26005
1568199900,1,0,C2,0,404,5916
1568199900,3,1200,C2,1,0,12
1568199900,8,8000,C3,0,1,104
1568199180,3,0,C1,1,0,165
1568199180,3,8000,C8,0,6,906
1568199600,3,4000,C1,1,474,20545
1568199780,8,0,C4,1,2,20
1568199000,7,2000,C1,1,764,42147
1568199240,3,2000,C5,1,481,29955
1568198820,8,2000,C2,0,260,3179
1568198880,1,0,C7,0,0,15
1568199060,5,4000,C3,0,22,1793
1568199300,1,4000,C7,0,88,1149
1568199300,3,8000,C1,0,43,1396
1568199720,3,500,C2,0,235,3868
1568199180,6,2000,C5,1,5,435
1568199180,7,4000,C2,1,2,4
1568199840,5,500,C1,1,916,36189
1568199960,5,0,C3,0,9,191
1568199960,7,1200,C3,1,105,5477
1568199300,8,1200,C6,0,20,907
1568199420,1,2000,C3,1,391,20571
1568199600,7,0,C3,1,0,13
1568199960,8,2000,C7,0,29,310
1568199000,7,2000,C8,1,9,8181
1568199000,8,4000,C5,1,9,146
1568199060,1,500,C1,1,227,8560
1568199180,1,0,C3,0,4,36
1568199240,6,8000,C3,1,6,100
1568199600,1,4000,C3,0,2,137
1568199660,6,500,C4,1,4,22
1568199480,6,1200,C7,0,0,1
1568199780,5,0,C4,1,1,72
1568198880,5,1500,C3,0,0,10
1568199060,7,0,C2,1,0,11
1568199480,6,2000,C5,1,3,433
1568199480,7,4000,C2,1,0,3
1568199720,3,4000,C6,1,1,2
1568199000,5,2000,C3,1,2260,86787
1568199780,6,1200,C1,1,50,2573
1568198880,8,0,C4,1,0,9
1568199900,1,4000,C2,0,56,754
1568199960,6,500,C3,1,24,866
1568199240,8,500,C2,0,16,249
1568199420,8,1200,C3,1,63,3698
1568199720,3,1500,C6,0,0,7
1568200020,1,1200,C1,0,2,14
1568198880,7,0,C4,0,0,12
1568199000,3,500,C6,1,0,1
1568199120,3,0,C8,0,2,501
1568199180,8,8000,C8,1,16,2321
1568199300,6,2000,C7,0,0,12
1568199540,3,4000,C8,0,134,21074
1568199540,5,8000,C2,0,4,246
1568199780,1,8000,C6,0,8,1926
1568199960,5,500,C3,0,141,8904
1568199000,3,1200,C3,0,162,7632
1568199540,5,8000,C5,1,52,2815
1568199660,3,2000,C4,0,0,13
1568199120,8,4000,C7,0,14,386
1568199180,1,500,C3,0,11,540
1568199360,6,8000,C5,0,0,6
1568199780,5,2000,C1,1,5065,235787
1568199780,6,500,C6,0,0,1
1568199900,8,1200,C8,0,0,419
1568200020,1,2000,C5,1,0,50
1568199180,3,4000,C3,1,306,12160
1568199420,1,8000,C1,1,129,3463
1568199840,1,500,C2,1,2,3
1568199960,1,0,C4,0,0,9
1568199960,8,8000,C5,0,0,26
1568198940,5,1200,C2,1,0,4
1568199000,1,500,C5,0,2,86
1568199180,1,1200,C6,1,0,1
